year,similarity,type
2003,0.636114034797,yyi
2004,0.664441798237,yyi
2005,0.735955177523,yyi
2006,0.678297639162,yyi
2007,0.741733643977,yyi
2008,0.741583985333,yyi
2009,0.705283402816,yyi
2010,0.802784924968,yyi
2011,0.763761774758,yyi
2012,0.806953119164,yyi
2013,0.795289291531,yyi
2014,0.824674835272,yyi
2015,0.806868345539,yyi
2016,0.799503904005,yyi
2003,0.688831186531,yhi
2004,0.722896535101,yhi
2005,0.801020833175,yhi
2006,0.717615349569,yhi
2007,0.742199518745,yhi
2008,0.78080506806,yhi
2009,0.745750127276,yhi
2010,0.802523032715,yhi
2011,0.756806359144,yhi
2012,0.822399980217,yhi
2013,0.815266784661,yhi
2014,0.817763644097,yhi
2015,0.804133237334,yhi
2016,0.819589479848,yhi
2003,0.436823878369,yyu
2004,0.513262041193,yyu
2005,0.610186954485,yyu
2006,0.622217849844,yyu
2007,0.71460691055,yyu
2008,0.671832622961,yyu
2009,0.640096963786,yyu
2010,0.752905720585,yyu
2011,0.738104884959,yyu
2012,0.748089973832,yyu
2013,0.765475965797,yyu
2014,0.799231882782,yyu
2015,0.763010488156,yyu
2016,0.736576658664,yyu
2003,0.561906610414,yhu
2004,0.590707541709,yhu
2005,0.67990276919,yhu
2006,0.662318330334,yhu
2007,0.717713958268,yhu
2008,0.718145144558,yhu
2009,0.683438101733,yhu
2010,0.754560426014,yhu
2011,0.733697610783,yhu
2012,0.768948449387,yhu
2013,0.788967923592,yhu
2014,0.795297799477,yhu
2015,0.765077060963,yhu
2016,0.760333816805,yhu
